EID,Title,Authors,Year,Source,DOI,Citations,Abstract,TechTerm
2-s2.0-85175248510,adopting machine translation in the healthcare sector: a methodological multi-criteria review,Zappatore M.,2024,Computer Speech and Language,10.1016/j.csl.2023.101582,21.0,"Background: The recent advances in machine translation (MT) offer an appealing and low-cost solution to overcome language barriers in multiple contexts (e.g., travelling, cultural interaction, digital content localisation). However, highly-technical domains typically exhibiting as long, complex, and specialised texts as the healthcare sector, pose multiple challenges to the effective and risk-safe use of MT. Methods: To examine how MT nowadays assists written/verbal health communication and because of the existing considerable heterogeneity in technological enablers, language pairs and user groups, training approaches, evaluation processes, and users” requirements, we propose in this paper a methodological multi-criteria literature review based on current guidelines in computer science research and grounded on a customised configuration of the PRISMA methodology, normally used to perform meta-analyses on clinical trials. The review focuses on language-to-language medical MT, covers the time period January 2015–February 2023, and only refers to articles written in English that are accessible via four scientific online digital libraries. Articles are ranked according to a meta-evaluation scoring method for MT scientific credibility along with a scoring for assessing the scope of MT in healthcare. Finally, a guideline to properly design a study about MT in healthcare is also proposed. Results: The review included a final set of 58 articles from journals (n=30) and conference proceedings (n=28), considering 48 different language combinations. We identified a predominance of English-to-Spanish (n=19) and English-to-Chinese (n=16) implementations, mainly tailored to medical staff only (n=14) or along with patients (n=12). Included papers addressed clinical communication (n=21) and health education (n=37). Unidirectional real-time bilingual MT (n=24) was the most frequent configuration. MT implementations were dominated by Google Translate (n=22) often used as baseline, OpenNMT (n=12), or Moses (n=11). Training and evaluation approaches varied considerably, while deployment and pre-/post-editing were rarely described with an adequate level of detail. Conclusion: Even if a significant number of articles reported that the proposed MT solutions were effective when translating (bio)medical texts, only a subset of them complied with rigorous translation quality assessment criteria (e.g., use of automatic metrics better related to human ranking than BLEU or statistical significance testing). Nevertheless, MT can be a valid support/supplement in health communication but to cope with issues in fluency, accuracy, unnatural translations, domain-adequacy, and potential safety risks (for highly-sensitive documents), appropriate MT training is essential, along with in-domain human post-editing. The presence of in-domain training text corpora has also proven to be beneficial. Finally, guidelines about how to design studies on MT in healthcare are also proposed to engage more researchers in this field. © 2023 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85197957405,performance of chatgpt and google translate for pediatric discharge instruction translation,Brewster R.C.L.,2024,Pediatrics,10.1542/peds.2023-065573,19.0,"BACKGROUND AND OBJECTIVES: Patients who speak languages other than English face barriers to equitable healthcare delivery. Machine translation systems, including emerging large language models, have the potential to expand access to translation services, but their merits and limitations in clinical practice remain poorly defined. We aimed to assess the performance of Google Translate and ChatGPT for multilingual translation of pediatric discharge instructions. METHODS: Twenty standardized discharge instructions for pediatric conditions were translated into Spanish, Brazilian Portuguese, and Haitian Creole by professional translation services, Google Translate and ChatGPT-4.0, and evaluated for adequacy (preserved information), fluency (grammatical correctness), meaning (preserved connotation), and severity (clinical harm), along with assessment of overall preference. Domain-level ratings and preferred translation source were summarized with descriptive statistics and compared with professional translations. RESULTS: Google Translate and ChatGPT demonstrated similar domain-level ratings to professional translations for Spanish and Portuguese. For Haitian Creole, compared with both Google Translate and ChatGPT, professional translations demonstrated significantly greater adequacy, fluency meaning, and severity scores. ChatGPT (33.3%, P < .001) and Google Translate (23.3%, P 5 .024) contained more potentially clinically significant errors (severity score #3) for Haitian Creole than professional translations (8.3%). Professional Haitian Creole (48.3%) and Portuguese (43.3%), but not Spanish (15%), translations were most frequently preferred among translation sources. CONCLUSIONS: Machine translation platforms have comparable performance to professional translations for Spanish and Portuguese but shortcomings in quality, accuracy, and preference persist for Haitian Creole. Diverse multilingual training data are needed, along with regulations ensuring safe and equitable applications of machine translation in clinical practice. © 2024 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85092703914,"awezamed: a multilingual, multimodal speech-to-speech translation application for maternal health care",Marais L.,2020,Proceedings of 2020 23rd International Conference on Information Fusion Fusion 2020,10.23919/fusion45008.2020.9190240,11.0,"The language contexts of multilingual developing countries such as South Africa are often characterised by communication challenges resulting from language differences. AwezaMed is a multilingual, multimodal speech-to-speech translation application for the health care domain, which was designed to assist in bridging communication barriers and mitigate the risks of miscommunication. The application focuses on the domain of maternal health care. It uses English as source language and Afrikaans, isiXhosa and isiZulu as target languages to enable health care providers to communicate with patients in their own language. It incorporates automatic speech recognition, machine translation and text-to-speech to deliver speech-to-speech translation functionality in a scalable way via a REST API to an Android mobile application. It is being piloted at various health care facilities across South Africa. © 2020 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85139727099,the use of automated machine translation to translate figurative language in a clinical setting: analysis of a convenience sample of patients drawn from a randomized controlled trial,Tougas H.,2022,Jmir Mental Health,10.2196/39556,10.0,"Background: Patients with limited English proficiency frequently receive substandard health care. Asynchronous telepsychiatry (ATP) has been established as a clinically valid method for psychiatric assessments. The addition of automated speech recognition (ASR) and automated machine translation (AMT) technologies to asynchronous telepsychiatry may be a viable artificial intelligence (AI)–language interpretation option. Objective: This project measures the frequency and accuracy of the translation of figurative language devices (FLDs) and patient word count per minute, in a subset of psychiatric interviews from a larger trial, as an approximation to patient speech complexity and quantity in clinical encounters that require interpretation. Methods: A total of 6 patients were selected from the original trial, where they had undergone 2 assessments, once by an English-speaking psychiatrist through a Spanish-speaking human interpreter and once in Spanish by a trained mental health interviewer-researcher with AI interpretation. 3 (50%) of the 6 selected patients were interviewed via videoconferencing because of the COVID-19 pandemic. Interview transcripts were created by automated speech recognition with manual corrections for transcriptional accuracy and assessment for translational accuracy of FLDs. Results: AI-interpreted interviews were found to have a significant increase in the use of FLDs and patient word count per minute. Both human and AI-interpreted FLDs were frequently translated inaccurately, however FLD translation may be more accurate on videoconferencing. Conclusions: AI interpretation is currently not sufficiently accurate for use in clinical settings. However, this study suggests that alternatives to human interpretation are needed to circumvent modifications to patients’ speech. While AI interpretation technologies are being further developed, using videoconferencing for human interpreting may be more accurate than in-person interpreting. © 2022 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85111575607,fully unsupervised word translation from cross-lingual word embeddings especially for healthcare professionals,Chauhan S.,2022,International Journal of System Assurance Engineering and Management,10.1007/s13198-021-01182-z,4.0,"Unsupervised word to word translation without parallel corpora has attracted much research interest in the recent years. Even with the remarkable success of the recent techniques that trained with adversarial learning methods achieved a high accuracy. But they suffer from the typical drawbacks of generative adversarial models that is sensitivity to hyper-parameters, long training time and lack of interpretability. In this paper, we proposed a method of cross-lingual word embedding generation for English and morphological rich Hindi language pairs especially for healthcare professional because it will remove the communication barrier among patients regardless of its language. There is no requirement of aligned document or sentence aligned corpus, nor any bilingual dictionary because fully unsupervised learning method has been used. We are following the assumption of intra-lingual similarity distribution idea that the distribution graph is identical for the most common terms between language pairs and isometric embeddings. The performance is analyzed by using different word retrieval methods and compared for the cross-lingual word embedding of an English Hindi language pair, which is trained for both fully unsupervised and semi-supervised ways by passing the seed dictionary. We have also provided the comparative analysis of results of adversarial training and robust self-learning method for English and Hindi languages. © 2022 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85186508714,medlingua: a conceptual framework for a multilingual medical conversational agent,Himel G.M.S.,2024,Methodsx,10.1016/j.mex.2024.102614,2.0,"This study introduces a hybrid model for an advanced medical chatbot addressing crucial healthcare communication challenges. Leveraging a hybrid ML model, the chatbot aims to provide accurate and prompt responses to users' health-related queries. The proposed model will overcome limitations observed in previous medical chatbots by integrating a dual-stemming approach, P-Stemmer and NLTK-Stemmer, accommodating both semitic and non-semitic languages. The system prioritizes the analysis of cognates, identification of symptoms, doctor recommendations, and prescription generation. It integrates an automatic translation module to facilitate a smooth multilingual diagnostic experience. Following the Scrum methodology for agile development, the framework ensures adaptability to evolving research needs and stays current with recent medical discoveries. This groundbreaking idea aims to improve the effectiveness and availability of healthcare services by introducing an intelligent, multilingual chatbot. This technology enables patients to communicate with doctors from diverse linguistic backgrounds through an automated language translation model, eliminating language barriers and extending healthcare access to rural regions worldwide. • A simple but efficient hybrid conceptual model for advancement in smart medical assistance. • This conceptual model can be applied to implement a medical chatbot that can understand multiple languages. • This method can be utilized to address medical chatbot limitations and enhance accuracy in response generation. © 2024 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85217275358,comparison of machine translation services in the biomedical context,Slosarek T.,2024,Proceedings 2024 IEEE International Conference on Bioinformatics and Biomedicine Bibm 2024,10.1109/bibm62325.2024.10822680,2.0,"Patients and healthcare providers often face communication barriers due to different languages, which can impede healthcare quality. Moreover, with digital medicine and health applications, health data in different languages becomes increasingly available and connected. Machine translation services may be suitable to bridge present language barriers. This paper aims to assess the translation quality of different machine translation services in a biomedical context. We compare the European Commission's eTranslation service, DeepL, Google Translate, and the Watson Language Translator, using an automated, extensible, and open-source pipeline. Parallel biomedical corpora are identified and used to translate German, French, and Spanish sentences to English. We apply evaluation metrics, BLEU, ROUGE, and BLEURT, and additionally rank translations in a human validation. We found that both the evaluation metrics and the human validation indicate a higher translation quality of DeepL and Google Translate, compared to the Watson Language Translator and eTranslation. Also, human raters identified more errors in eTranslation and Watson Language Translator translations. The BLEURT metric reaches the highest agreement with the human validation. However, effect sizes of evaluation metric differences are small and the raters agree that in general translations were overall reasonable. While the translations are overall understandable, in practice it should always be clear to users that translations were done automatically and can be erroneous. Moreover, when choosing a translation service for a medical service, other features than translation quality such as speed and data security should be considered. In future versions, the proposed pipeline could be extended to include updated versions of translation services, large language models, further languages, and additional evaluation metrics. © 2025 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85092120836,computational intelligence approach to address the language barrier in healthcare,Sinha S.,2020,Computational Intelligence for Machine Learning and Healthcare Informatics,10.1515/9783110648195-004,0.0,"In this aeon of globalization and economic growth, the fixed geographic boundary of any country/continent does not confine the mobility of people. Education and healthcare are two service sectors that have seen the major changes in this respect. But, the language diversity across the globe works as an obtrusion for the smooth transition from one part of the globe to the other. The challenges due to linguistic diversity possess more severe difficulties in the healthcare sector. Certainly, the miscommunications of any form in this sector can have far-reaching consequences that may turn out to be irreversible. These difficulties get more scaled up when the patient moves from one part of the world to the other, where very few people speak or understand his/her language. Solutions in terms of translation of one language speech to another language speech can help overcome these difficulties. Automatic speech-to-speech (S2S) translation can make the communication seamless that can expand the horizon of the healthcare sector. This chapter discusses the advancements in natural language processing, the chief focus being the spoken aspect of the language during communication. The chapter discusses the stringing together of three major techniques: automatic speech recognition, automated translation by machine and conversion of text into spoken utterance, that is, text to speech for seamless communication in healthcare services. Besides this, the technological developments and implementation of the challenges at each step is identified and briefly discussed. The performance of the S2S system is evaluated in the healthcare domain. © 2020 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85216001762,artificial intelligence-driven translation tools in intensive care units for enhancing communication and research,Bahrami S.,2025,International Journal of Environmental Research and Public Health,10.3390/ijerph22010095,0.0,"There is a need to improve communication for patients and relatives who belong to cultural minority communities in intensive care units (ICUs). As a matter of fact, language barriers negatively impact patient safety and family participation in the care of critically ill patients, as well as recruitment to clinical trials. Recent studies indicate that Google Translate and ChatGPT are not accurate enough for advanced medical terminology. Therefore, developing and implementing an ad hoc machine translation tool is essential for bridging language barriers. This tool would enable language minority communities to access advanced healthcare facilities and innovative research in a timely and effective manner, ensuring they receive the comprehensive care and information they need. Method: Key factors that facilitate access to advanced health services, in particular ICUs, for language minority communities are reviewed. Results: The existing digital communication tools in emergency departments and ICUs are reviewed. To the best of our knowledge, no AI English/French translation app has been developed for deployment in ICUs. Patient privacy and data confidentiality are other important issues that should be addressed. Conclusions: Developing an artificial intelligence-driven translation tool for intensive care units (AITIC) which uses language models trained with medical/ICU terminology datasets could offer fast and accurate real-time translation. An AITIC could support communication, and consolidate and expand original research involving language minority communities. © 2025 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-86000364102,breaking language barriers in healthcare: a voice activated multilingual health assistant,Vignesh U.,2025,Interdisciplinary Journal of Information Knowledge and Management,10.28945/5455,0.0,"Aim/Purpose The study aims to develop a multilingual healthcare assistance chatbot that provides real-time, accurate answers to a query related to health matters in multiple languages. Conversion of written responses into spoken words lets users have the medical information necessary for them without interrupting communication between patients and health services. The purpose of this system is to break the language barriers for healthcare users, making it easier for them to access vital medical advice and resources. Background This research focuses on fine-tuned large language models (LLMs) for providing accurate, context-aware responses in multiple languages with speech-based output. The chatbot, built on pre-trained Hugging Face models and fine-tuned with healthcare datasets, demonstrates a comprehensive understanding of medical terminology, symptoms, and healthcare concepts across languages. Unlike many existing chatbots that offer limited medical knowledge or support only a single language, the proposed chatbot leverages fine-tuning on a specialized medical corpus to deliver more accurate, context-rich responses. Furthermore, it provides text-based and speech-based outputs, improving user engagement and accessibility compared to text-only models. Methodology A multilingual healthcare assistance chatbot is proposed using the pre-trained model aboonaji/llama2finetune-v2 and the specialized medical dataset aboonaji/wiki_medical_terms_llam2_format from Hugging Face. Key steps in the methodology include cleaning and normalizing medical terms, symptoms, and treatment advice to ensure uniformity across multiple languages. The model is fine-tuned on this healthcare dataset, enabling accurate and context-sensitive responses. Text-to-speech (TTS) technology is integrated to provide natural-sounding, voice-based answers, enhancing accessibility. Multilingual capability is ensured through modules for smooth language transitions. The chatbot is deployed on an intuitive web or mobile platform, simplifying user interaction. Performance metrics, including response accuracy, linguistic consistency, and user satisfaction, continuously improve through feedback and periodic updates with evolving medical knowledge and language models. Contribution This research adds value to the medical sector by maximizing access to healthcare information across heterogeneous linguistic groups. It uses advanced natural language processing techniques and text-to-speech technology, facilitating quick and efficient interaction between patients and health providers. This allows users to follow crucial medical advice and information in their preferred language, thus promoting greater patient understanding and engagement. The output of the accurate, context-sensitive responses to healthcare search terms given by the chatbot assists in bridging the gap between patients and medical resources to make informed decisions for better overall health literacy. This model works as an instrumental instrument in solving language barriers in healthcare by introducing inclusiveness and promoting a stronger case for equality in healthcare. Findings Results indicate that the chatbot effectively addresses language gaps in healthcare by generating contextually accurate and relevant responses to medical queries with excellent quality and reliability. Performance metrics demonstrate a BLEU score between 0.8 and 0.9, a perplexity score of 80.45, and an average latency of 20 seconds, highlighting robust translation accuracy, coherent response generation, and reasonable interaction time. Text-to-speech integration enhances accessibility and user engagement, while high user satisfaction confirms its potential to improve health literacy and patient comprehension. Continuous feedback during testing has enabled iterative refinements, ensuring the chatbot remains a reliable and inclusive tool for medical information delivery. Recommendations Clinical practitioners should also encourage the adoption of the multilingual for Practitioners healthcare assistance chatbot in their clinical settings to enhance engagement and communication with the patient. This will enable healthcare providers to effectively bridge the language gap to provide patients with the exact health information they wish to receive in the language. The practice should encourage the different patient populations to use the chatbot and assist them in seeking information confidently. Recommendations It would be great to challenge this multilingual medical assistance chatbot for Researchers through further research, for example, testing in other languages and improving its natural language processing properties to provide users with accurate medical answers. This study should be followed by further studies measuring the extended effects of chatbots on health literacy and patient outcomes in different healthcare settings. Collaboration in design with healthcare professionals will provide insights into user needs and ensure the chatbot remains practical and meaningful. Additionally, artificial intelligence and machine learning could enhance the learning of the interactions from the interactions with the chatbot, thus enhancing its effectiveness over time. These efforts can significantly advance technology in healthcare communication and patient support. Impact on Society A multilingual health assistance chatbot can greatly affect society by giving diverse populations easy access to essential health information. It bridges the language barrier gaps, enabling individuals of many linguistic backgrounds to gain self-confident medical advice and information, thus furthering health literacy and informed decision-making. That enables better healthcare because the patients will be able to understand what might be wrong with them and likely to comply with some prescriptions made for the treatment. In addition, the chatbot encourages egalitarian healthcare because it allows for the inclusion of marginalized groups of society to be treated equally. At the same time, there should still be an equal occurrence in the healthcare system. This means, in turn, that the chatbot does not only enhance individual results in health but also community health at large because it is sure to encourage proactive engagement with the services and healthcare resources. Future Research Future research may focus on expanding the knowledge database for the chatbot by incorporating many languages and dialects. It could also work on perfecting the natural language processing to interpret complex medical-related queries better. The integration of more advanced techniques of artificial intelligence may also further enhance the learning abilities of chatbots from user interactions and sharpen their response across time cycles. © 2025 Elsevier B.V., All rights reserved.",machine translation
